Year,ZIP_Code,Causes_of_Death,Count,Location 
1999,90274,LIV,1,"(33.770094, -118.374763)"
1999,90274,SUI,1,"(33.770094, -118.374763)"
1999,90277,HOM,1,"(33.830656, -118.383221)"
1999,90290,INJ,1,"(34.10759, -118.602268)"
1999,90290,PNF,1,"(34.10759, -118.602268)"
1999,90290,ALZ,1,"(34.10759, -118.602268)"
1999,90290,OTH,1,"(34.10759, -118.602268)"
1999,90292,LIV,1,"(33.977876, -118.452475)"
1999,90293,CLD,1,"(33.957745, -118.437314)"
1999,90293,PNF,1,"(33.957745, -118.437314)"
1999,90293,LIV,1,"(33.957745, -118.437314)"
1999,90293,HOM,1,"(33.957745, -118.437314)"
1999,90304,ALZ,1,"(33.938514, -118.355562)"
1999,90305,ALZ,1,"(33.958304, -118.32585)"
1999,90305,HOM,1,"(33.958304, -118.32585)"
1999,90401,ALZ,1,"(34.017628, -118.490708)"
1999,90401,LIV,1,"(34.017628, -118.490708)"
1999,90401,SUI,1,"(34.017628, -118.490708)"
1999,90402,CLD,1,"(34.034875, -118.503011)"
1999,90402,DIA,1,"(34.034875, -118.503011)"
2000,90402,SUI,1,"(34.034875, -118.503011)"
2000,90403,LIV,1,"(34.028658, -118.49241)"
2000,90404,SUI,1,"(34.026828, -118.4733)"
2000,90405,ALZ,1,"(34.01001, -118.471708)"
2000,90405,LIV,1,"(34.01001, -118.471708)"
2000,90502,LIV,1,"(33.828555, -118.292039)"
2000,90502,HOM,1,"(33.828555, -118.292039)"
2000,90503,HOM,1,"(33.839709, -118.354236)"
2000,90504,SUI,1,"(33.870815, -118.329517)"
2000,90601,INJ,1,"(34.001119, -118.037139)"
2000,90605,HOM,1,"(33.941338, -118.035568)"
2000,90606,SUI,1,"(33.977019, -118.065639)"
2000,90623,SUI,1,"(33.849017, -118.040618)"
2000,90630,LIV,1,"(33.818613, -118.038696)"
2000,90630,HOM,1,"(33.818613, -118.038696)"
2000,90670,DIA,1,"(33.946407, -118.083801)"
2000,90680,ALZ,1,"(33.803029, -117.994709)"
2000,90701,SUI,1,"(33.866568, -118.068046)"
2000,90703,HOM,1,"(33.858333, -118.063889)"
2000,90704,STK,1,"(33.331963, -118.343706)"
2000,90704,INJ,1,"(33.331963, -118.343706)"
2000,90704,PNF,1,"(33.331963, -118.343706)"
2000,90710,SUI,1,"(33.797006, -118.299114)"
2000,90712,ALZ,1,"(33.851201, -118.145727)"
2000,90715,ALZ,1,"(33.840453, -118.076707)"
2000,90716,HOM,1,"(33.82958, -118.072964)"
2000,90723,SUI,1,"(33.896867, -118.163152)"
2000,90732,HOM,1,"(33.744947, -118.310597)"
2000,90740,HOM,1,"(33.760971, -118.08428)"
2000,90742,INJ,1,"(33.716389, -118.068056)"
2000,90742,SUI,1,"(33.716389, -118.068056)"
2000,90744,SUI,1,"(33.785475, -118.264451)"
2000,90801,HTD,1,"(33.7705, -118.1885)"
2000,90801,STK,1,"(33.7705, -118.1885)"
2000,90801,CLD,1,"(33.7705, -118.1885)"
2000,90804,ALZ,1,"(33.782993, -118.155187)"
2000,90806,SUI,1,"(33.799319, -118.187443)"
2000,90813,ALZ,1,"(33.78202, -118.183488)"
2000,90814,LIV,1,"(33.771576, -118.147988)"
2000,90814,SUI,1,"(33.771576, -118.147988)"
2000,90815,HOM,1,"(33.793908, -118.119249)"
2000,91007,LIV,1,"(34.124271, -118.051483)"
2000,91007,SUI,1,"(34.124271, -118.051483)"
2000,91010,HOM,1,"(34.137445, -117.967005)"
2000,91011,INJ,1,"(34.209282, -118.199008)"
2000,91020,INJ,1,"(34.211425, -118.230529)"
2000,91020,ALZ,1,"(34.211425, -118.230529)"
2000,91024,INJ,1,"(34.165101, -118.051916)"
2000,91024,LIV,1,"(34.165101, -118.051916)"
2000,91024,SUI,1,"(34.165101, -118.051916)"
2000,91030,DIA,1,"(34.110939, -118.154696)"
2000,91040,ALZ,1,"(34.261025, -118.321359)"
2000,91040,SUI,1,"(34.261025, -118.321359)"
2000,91046,CLD,1,"(34.211389, -118.238611)"
2000,91046,PNF,1,"(34.211389, -118.238611)"
2000,91046,OTH,1,"(34.211389, -118.238611)"
2000,91101,LIV,1,"(34.146762, -118.139119)"
2000,91101,HOM,1,"(34.146762, -118.139119)"
2000,91103,HOM,1,"(34.166906, -118.155119)"
2000,91105,LIV,1,"(34.135455, -118.163577)"
2000,91105,SUI,1,"(34.135455, -118.163577)"
2000,91105,HOM,1,"(34.135455, -118.163577)"
2000,91106,HOM,1,"(34.143527, -118.126647)"
2000,91107,HOM,1,"(34.150997, -118.088905)"
2000,91201,ALZ,1,"(34.171606, -118.289892)"
2000,91201,LIV,1,"(34.171606, -118.289892)"
2000,91202,ALZ,1,"(34.165235, -118.265649)"
2000,91202,LIV,1,"(34.165235, -118.265649)"
2000,91202,HOM,1,"(34.165235, -118.265649)"
2000,91203,CLD,1,"(34.151718, -118.263614)"
2000,91203,DIA,1,"(34.151718, -118.263614)"
2000,91203,ALZ,1,"(34.151718, -118.263614)"
2000,91205,LIV,1,"(34.137798, -118.24245)"
2000,91206,SUI,1,"(34.155605, -118.232217)"
2000,91206,HOM,1,"(34.155605, -118.232217)"
2000,91207,INJ,1,"(34.164856, -118.245086)"
2000,91207,ALZ,1,"(34.164856, -118.245086)"
2000,91207,LIV,1,"(34.164856, -118.245086)"
2000,91208,INJ,1,"(34.19212, -118.234966)"
2000,91208,ALZ,1,"(34.19212, -118.234966)"
2000,91301,PNF,1,"(34.157163, -118.75718)"
2000,91301,ALZ,1,"(34.157163, -118.75718)"
2000,91301,SUI,1,"(34.157163, -118.75718)"
2000,91302,DIA,1,"(34.141854, -118.664103)"
2000,91302,LIV,1,"(34.141854, -118.664103)"
2000,91304,HOM,1,"(34.219671, -118.611059)"
2000,91307,ALZ,1,"(34.196343, -118.638892)"
2000,91307,SUI,1,"(34.196343, -118.638892)"
2000,91311,ALZ,1,"(34.258253, -118.591357)"
2000,91311,SUI,1,"(34.258253, -118.591357)"
2000,91311,HOM,1,"(34.258253, -118.591357)"
2000,91316,LIV,1,"(34.165479, -118.517542)"
2000,91316,HOM,1,"(34.165479, -118.517542)"
2000,91320,HOM,1,"(34.177393, -118.935798)"
2000,91321,SUI,1,"(34.379519, -118.523005)"
2000,91324,LIV,1,"(34.236743, -118.546595)"
2000,91325,ALZ,1,"(34.235332, -118.51884)"
2000,91325,LIV,1,"(34.235332, -118.51884)"
2000,91326,LIV,1,"(34.274191, -118.541235)"
2000,91326,SUI,1,"(34.274191, -118.541235)"
2000,91343,ALZ,1,"(34.236636, -118.47582)"
2000,91344,HOM,1,"(34.277068, -118.4992)"
2000,91350,LIV,1,"(34.459742, -118.488955)"
2000,91352,ALZ,1,"(34.220907, -118.369853)"
2000,91354,ALZ,1,"(34.446608, -118.537437)"
2000,91354,SUI,1,"(34.446608, -118.537437)"
2000,91355,ALZ,1,"(34.398456, -118.55352)"
2000,91360,LIV,1,"(34.209179, -118.873908)"
2000,91361,SUI,1,"(34.147233, -118.83832)"
2000,91362,LIV,1,"(34.191884, -118.830601)"
2000,91362,HOM,1,"(34.191884, -118.830601)"
2000,91365,HTD,1,"(34.1697, -118.6076)"
2000,91365,STK,1,"(34.1697, -118.6076)"
2000,91365,LIV,1,"(34.1697, -118.6076)"
2000,91377,STK,1,"(34.136389, -118.773611)"
2000,91377,PNF,1,"(34.136389, -118.773611)"
2000,91377,DIA,1,"(34.136389, -118.773611)"
2000,91381,PNF,1,"(34.381067, -118.582134)"
2000,91381,DIA,1,"(34.381067, -118.582134)"
2000,91381,HOM,1,"(34.381067, -118.582134)"
2000,91384,DIA,1,"(34.482695, -118.62537)"
2000,91384,LIV,1,"(34.482695, -118.62537)"
2000,91384,SUI,1,"(34.482695, -118.62537)"
2000,91403,SUI,1,"(34.151407, -118.460325)"
2000,91411,LIV,1,"(34.178133, -118.457396)"
2000,91411,SUI,1,"(34.178133, -118.457396)"
2000,91436,ALZ,1,"(34.15098, -118.488238)"
2000,91501,ALZ,1,"(34.186238, -118.300898)"
2000,91501,SUI,1,"(34.186238, -118.300898)"
2000,91501,HOM,1,"(34.186238, -118.300898)"
2000,91502,LIV,1,"(34.174487, -118.305912)"
2000,91502,SUI,1,"(34.174487, -118.305912)"
2000,91504,HOM,1,"(34.200097, -118.326401)"
2000,91505,LIV,1,"(34.168998, -118.344175)"
2000,91602,DIA,1,"(34.151095, -118.367606)"
2000,91602,SUI,1,"(34.151095, -118.367606)"
2000,91604,LIV,1,"(34.143025, -118.391311)"
2000,91604,HOM,1,"(34.143025, -118.391311)"
2000,91607,HOM,1,"(34.167217, -118.398905)"
2000,91706,SUI,1,"(34.084245, -117.969539)"
2000,91711,INJ,1,"(34.109167, -117.718293)"
2000,91711,HOM,1,"(34.109167, -117.718293)"
2000,91723,HOM,1,"(34.08596, -117.884285)"
2000,91724,ALZ,1,"(34.093752, -117.855982)"
2000,91724,SUI,1,"(34.093752, -117.855982)"
2000,91724,HOM,1,"(34.093752, -117.855982)"
2000,91730,ALZ,1,"(34.107039, -117.59408)"
2000,91737,DIA,1,"(34.144883, -117.579295)"
2000,91737,HOM,1,"(34.144883, -117.579295)"
2000,91739,STK,1,"(34.119873, -117.519329)"
2000,91740,INJ,1,"(34.128663, -117.855155)"
2000,91741,DIA,1,"(34.136111, -117.864444)"
2000,91741,HOM,1,"(34.136111, -117.864444)"
2000,91748,SUI,1,"(33.981777, -117.896946)"
2000,91750,INJ,1,"(34.115905, -117.77077)"
2000,91750,SUI,1,"(34.115905, -117.77077)"
2000,91750,HOM,1,"(34.115905, -117.77077)"
2000,91752,ALZ,1,"(33.993845, -117.523574)"
2000,91752,LIV,1,"(33.993845, -117.523574)"
2000,91755,LIV,1,"(34.0488, -118.1149)"
2000,91765,ALZ,1,"(34.006585, -117.809822)"
2000,91766,ALZ,1,"(34.043268, -117.752086)"
2000,91769,CLD,1,"(34.0601, -117.7575)"
2000,91770,ALZ,1,"(34.065767, -118.08529)"
2000,91773,ALZ,1,"(34.102263, -117.81694)"
2000,91773,SUI,1,"(34.102263, -117.81694)"
2000,91775,LIV,1,"(34.115486, -118.085658)"
2000,91780,SUI,1,"(34.101586, -118.053652)"
2000,91780,HOM,1,"(34.101586, -118.053652)"
2000,91784,ALZ,1,"(34.1368, -117.6598)"
2000,91784,LIV,1,"(34.1368, -117.6598)"
2000,91791,SUI,1,"(34.065267, -117.897767)"
2000,91803,LIV,1,"(34.074514, -118.143354)"
2000,91901,DIA,1,"(32.828161, -116.754328)"
2000,91901,HOM,1,"(32.828161, -116.754328)"
2000,91902,DIA,1,"(32.667143, -117.022065)"
2000,91902,HOM,1,"(32.667143, -117.022065)"
2000,90015,CLD,1,"(32.671934, -116.319982)"
2000,90015,INJ,1,"(32.671934, -116.319982)"
2000,90015,DIA,1,"(32.671934, -116.319982)"
2000,90015,LIV,1,"(32.671934, -116.319982)"
2000,90015,SUI,1,"(32.671934, -116.319982)"
2000,91906,STK,1,"(32.660491, -116.490459)"
2000,91906,ALZ,1,"(32.660491, -116.490459)"
2000,91906,HOM,1,"(32.660491, -116.490459)"
2000,91913,PNF,1,"(32.651296, -116.985237)"
2000,91914,INJ,1,"(32.65875, -116.96517)"
2000,91914,ALZ,1,"(32.65875, -116.96517)"
2000,91914,OTH,1,"(32.65875, -116.96517)"
2000,91915,STK,1,"(32.631513, -116.940807)"
2000,91915,PNF,1,"(32.631513, -116.940807)"
2000,91917,CLD,1,"(32.615172, -116.728523)"
2000,91917,PNF,1,"(32.615172, -116.728523)"
2000,91917,SUI,1,"(32.615172, -116.728523)"
2000,91917,OTH,1,"(32.615172, -116.728523)"
2000,91931,HTD,1,"(32.848889, -116.556389)"
2000,91931,DIA,1,"(32.848889, -116.556389)"
2000,91934,CAN,1,"(32.624934, -116.195184)"
2000,91934,CLD,1,"(32.624934, -116.195184)"
2001,91934,PNF,1,"(32.624934, -116.195184)"
2001,91934,OTH,1,"(32.624934, -116.195184)"
2001,91935,ALZ,1,"(32.716289, -116.832332)"
2001,91935,SUI,1,"(32.716289, -116.832332)"
2001,91941,HOM,1,"(32.760431, -117.011541)"
2001,91942,LIV,1,"(32.783506, -117.018879)"
2001,91945,SUI,1,"(32.73323, -117.032646)"
2001,91977,HOM,1,"(32.724014, -116.997644)"
2001,91978,CLD,1,"(32.732892, -116.959551)"
2001,91978,INJ,1,"(32.732892, -116.959551)"
2001,91978,DIA,1,"(32.732892, -116.959551)"
2001,91978,ALZ,1,"(32.732892, -116.959551)"
2001,91978,LIV,1,"(32.732892, -116.959551)"
2001,91978,SUI,1,"(32.732892, -116.959551)"
2001,92003,CLD,1,"(33.294033, -117.18969)"
2001,92003,INJ,1,"(33.294033, -117.18969)"
2001,92003,ALZ,1,"(33.294033, -117.18969)"
2001,92004,CLD,1,"(33.238649, -116.351394)"
2001,92004,INJ,1,"(33.238649, -116.351394)"
2001,92004,LIV,1,"(33.238649, -116.351394)"
2001,92007,STK,1,"(33.025265, -117.274371)"
2001,92009,LIV,1,"(33.095407, -117.261888)"
2001,92010,HTD,1,"(33.156116, -117.280831)"
2001,92010,CAN,1,"(33.156116, -117.280831)"
2001,92010,INJ,1,"(33.156116, -117.280831)"
2001,92014,INJ,1,"(32.971474, -117.237314)"
2001,92014,LIV,1,"(32.971474, -117.237314)"
2001,92014,SUI,1,"(32.971474, -117.237314)"
2001,92025,HOM,1,"(33.110117, -117.069987)"
2001,92026,SUI,1,"(33.160513, -117.097808)"
2001,92026,HOM,1,"(33.160513, -117.097808)"
2001,92028,LIV,1,"(33.369015, -117.228952)"
2001,92028,HOM,1,"(33.369015, -117.228952)"
2001,92029,HOM,1,"(33.089497, -117.112793)"
2001,92036,CLD,1,"(33.053355, -116.565812)"
2001,92036,ALZ,1,"(33.053355, -116.565812)"
2001,92055,OTH,1,"(33.327929, -117.409452)"
2001,92056,HOM,1,"(33.196784, -117.283089)"
2001,92057,HOM,1,"(33.240654, -117.302484)"
2001,92059,LIV,1,"(33.377662, -117.071725)"
2001,92059,OTH,1,"(33.377662, -117.071725)"
2001,92061,STK,1,"(33.306285, -116.959552)"
2001,92061,INJ,1,"(33.306285, -116.959552)"
2001,92061,PNF,1,"(33.306285, -116.959552)"
2001,92067,SUI,1,"(33.0231, -117.1996)"
2001,92070,CLD,1,"(33.147579, -116.69635)"
2001,92070,INJ,1,"(33.147579, -116.69635)"
2001,92070,DIA,1,"(33.147579, -116.69635)"
2001,92070,ALZ,1,"(33.147579, -116.69635)"
2001,92071,LIV,1,"(32.848636, -116.986154)"
2001,92078,CAN,1,"(33.1254, -117.1894)"
2001,92078,STK,1,"(33.1254, -117.1894)"
2001,92082,PNF,1,"(33.249046, -117.012232)"
2001,92082,LIV,1,"(33.249046, -117.012232)"
2001,92083,LIV,1,"(33.187296, -117.245854)"
2001,92084,HOM,1,"(33.213118, -117.224285)"
2001,92086,SUI,1,"(33.303666, -116.721385)"
2001,92106,LIV,1,"(32.72725, -117.226829)"
2001,92107,HOM,1,"(32.742531, -117.243307)"
2001,92108,DIA,1,"(32.778327, -117.133525)"
2001,92108,ALZ,1,"(32.778327, -117.133525)"
2001,92117,HOM,1,"(32.823948, -117.196536)"
2001,92118,LIV,1,"(32.68069, -117.169823)"
2001,92118,SUI,1,"(32.68069, -117.169823)"
2001,92119,DIA,1,"(32.803587, -117.026065)"
2001,92120,LIV,1,"(32.79581, -117.070708)"
2001,92120,HOM,1,"(32.79581, -117.070708)"
2001,92121,STK,1,"(32.891894, -117.203503)"
2001,92122,INJ,1,"(32.857736, -117.211507)"
2001,92122,PNF,1,"(32.857736, -117.211507)"
2001,92122,LIV,1,"(32.857736, -117.211507)"
2001,92123,LIV,1,"(32.797297, -117.139248)"
2001,92123,HOM,1,"(32.797297, -117.139248)"
2001,92124,CLD,1,"(32.820113, -117.098613)"
2001,92124,ALZ,1,"(32.820113, -117.098613)"
2001,92124,LIV,1,"(32.820113, -117.098613)"
2001,92126,LIV,1,"(32.916136, -117.140227)"
2001,92126,HOM,1,"(32.916136, -117.140227)"
2001,92127,SUI,1,"(33.027854, -117.085596)"
2001,92128,LIV,1,"(33.00666, -117.068982)"
2001,92128,HOM,1,"(33.00666, -117.068982)"
2001,92129,ALZ,1,"(32.965185, -117.121308)"
2001,92129,LIV,1,"(32.965185, -117.121308)"
2001,92130,ALZ,1,"(32.955533, -117.225201)"
2001,92130,SUI,1,"(32.955533, -117.225201)"
2001,92130,HOM,1,"(32.955533, -117.225201)"
2001,92131,LIV,1,"(32.912343, -117.089758)"
2001,92131,SUI,1,"(32.912343, -117.089758)"
2001,92139,DIA,1,"(32.680612, -117.047375)"
2001,92139,HOM,1,"(32.680612, -117.047375)"
2001,92173,HOM,1,"(32.562567, -117.042976)"
2001,92179,CLD,1,"(32.5666, -116.9716)"
2001,92179,OTH,1,"(32.5666, -116.9716)"
2001,92203,INJ,1,"(33.742778, -116.288333)"
2001,92203,LIV,1,"(33.742778, -116.288333)"
2001,92203,OTH,1,"(33.742778, -116.288333)"
2001,92210,INJ,1,"(33.716334, -116.338129)"
2001,92210,PNF,1,"(33.716334, -116.338129)"
2001,92210,DIA,1,"(33.716334, -116.338129)"
2001,92210,ALZ,1,"(33.716334, -116.338129)"
2001,92210,SUI,1,"(33.716334, -116.338129)"
2001,92211,LIV,1,"(33.7611, -116.3249)"
2001,92211,SUI,1,"(33.7611, -116.3249)"
2001,92220,HOM,1,"(33.92816, -116.889928)"
2001,92223,HOM,1,"(33.950429, -116.970079)"
2001,92225,LIV,1,"(33.605715, -114.597131)"
2001,92225,SUI,1,"(33.605715, -114.597131)"
2001,92227,SUI,1,"(32.979181, -115.529613)"
2001,92227,HOM,1,"(32.979181, -115.529613)"
2001,92230,INJ,1,"(33.908583, -116.773948)"
2001,92230,DIA,1,"(33.908583, -116.773948)"
2001,92230,ALZ,1,"(33.908583, -116.773948)"
2001,92233,PNF,1,"(33.166956, -115.511402)"
2001,92236,PNF,1,"(33.674965, -116.177231)"
2001,92241,PNF,1,"(33.961111, -116.500833)"
2001,92242,CAN,1,"(34.149142, -114.33928)"
2001,92242,INJ,1,"(34.149142, -114.33928)"
2001,92242,DIA,1,"(34.149142, -114.33928)"
2001,92242,ALZ,1,"(34.149142, -114.33928)"
2001,92243,HOM,1,"(32.789332, -115.566508)"
2001,92249,CLD,1,"(32.698918, -115.428281)"
2001,92249,DIA,1,"(32.698918, -115.428281)"
2001,92249,LIV,1,"(32.698918, -115.428281)"
2001,92249,OTH,1,"(32.698918, -115.428281)"
2001,92250,LIV,1,"(32.810387, -115.377456)"
2001,92251,DIA,1,"(32.846954, -115.572984)"
2001,92252,PNF,1,"(34.150163, -116.303763)"
2001,92252,LIV,1,"(34.150163, -116.303763)"
2001,92254,CLD,1,"(33.571667, -116.076389)"
2001,92254,HOM,1,"(33.571667, -116.076389)"
2001,92256,ALZ,1,"(34.060646, -116.565641)"
2001,92256,HOM,1,"(34.060646, -116.565641)"
2001,92257,PNF,1,"(33.378373, -115.696455)"
2001,92257,LIV,1,"(33.378373, -115.696455)"
2001,92257,SUI,1,"(33.378373, -115.696455)"
2001,92258,STK,1,"(33.900278, -116.527222)"
2001,92258,PNF,1,"(33.900278, -116.527222)"
2001,92259,CAN,1,"(32.738611, -115.993333)"
2001,92259,STK,1,"(32.738611, -115.993333)"
2001,92259,CLD,1,"(32.738611, -115.993333)"
2001,92260,HOM,1,"(33.730842, -116.366442)"
2001,92263,HTD,1,"(33.8266, -116.5438)"
2001,92266,DIA,1,"(33.432778, -114.731389)"
2001,92266,OTH,1,"(33.432778, -114.731389)"
2001,92268,CAN,1,"(34.156667, -116.495278)"
2001,92268,STK,1,"(34.156667, -116.495278)"
2001,92268,CLD,1,"(34.156667, -116.495278)"
2001,92268,SUI,1,"(34.156667, -116.495278)"
2001,92268,HOM,1,"(34.156667, -116.495278)"
2001,92270,HOM,1,"(33.764284, -116.422451)"
2001,92273,CLD,1,"(32.793056, -115.690278)"
2001,92273,OTH,1,"(32.793056, -115.690278)"
2001,92274,CLD,1,"(33.543418, -116.11584)"
2001,92274,PNF,1,"(33.543418, -116.11584)"
2001,92274,DIA,1,"(33.543418, -116.11584)"
2001,92274,LIV,1,"(33.543418, -116.11584)"
2001,92274,SUI,1,"(33.543418, -116.11584)"
2001,92275,STK,1,"(33.298611, -115.955278)"
2001,92276,LIV,1,"(33.808158, -116.371305)"
2001,92277,ALZ,1,"(34.145509, -116.060133)"
2001,92277,HOM,1,"(34.145509, -116.060133)"
2001,92281,STK,1,"(33.041058, -115.630723)"
2001,92281,INJ,1,"(33.041058, -115.630723)"
2001,92281,LIV,1,"(33.041058, -115.630723)"
2001,92282,INJ,1,"(33.927591, -116.693154)"
2001,92282,OTH,1,"(33.927591, -116.693154)"
2001,92283,LIV,1,"(32.832922, -114.636634)"
2001,92285,INJ,1,"(34.403056, -116.591667)"
2001,92285,PNF,1,"(34.403056, -116.591667)"
2001,92286,CAN,1,"(34.119167, -116.445)"
2001,92286,PNF,1,"(34.119167, -116.445)"
2001,92301,PNF,1,"(34.584128, -117.424189)"
2001,92310,HTD,1,"(35.40148, -116.644759)"
2001,92310,CLD,1,"(35.40148, -116.644759)"
2001,92313,PNF,1,"(34.033889, -117.312778)"
2001,92313,LIV,1,"(34.033889, -117.312778)"
2001,92313,SUI,1,"(34.033889, -117.312778)"
2001,92313,HOM,1,"(34.033889, -117.312778)"
2001,92314,PNF,1,"(34.242233, -116.920412)"
2001,92314,ALZ,1,"(34.242233, -116.920412)"
2001,92314,HOM,1,"(34.242233, -116.920412)"
2001,92315,PNF,1,"(34.243889, -116.910556)"
2001,92315,ALZ,1,"(34.243889, -116.910556)"
2001,92315,HOM,1,"(34.243889, -116.910556)"
2001,92317,HTD,1,"(34.246111, -117.208889)"
2001,92317,CLD,1,"(34.246111, -117.208889)"
2001,92317,PNF,1,"(34.246111, -117.208889)"
2001,92317,OTH,1,"(34.246111, -117.208889)"
2001,92320,PNF,1,"(33.994586, -117.04304)"
2001,92320,HOM,1,"(33.994586, -117.04304)"
2001,92322,CAN,1,"(34.25, -117.325)"
2001,92322,DIA,1,"(34.25, -117.325)"
2001,92322,LIV,1,"(34.25, -117.325)"
2001,92325,HOM,1,"(34.241944, -117.284722)"
2001,92329,INJ,1,"(34.426111, -117.571389)"
2001,92329,DIA,1,"(34.426111, -117.571389)"
2001,92336,HOM,1,"(34.117276, -117.437759)"
2001,92337,PNF,1,"(34.0469, -117.4739)"
2001,92337,HOM,1,"(34.0469, -117.4739)"
2001,92342,PNF,1,"(34.749859, -117.33666)"
2001,92342,ALZ,1,"(34.749859, -117.33666)"
2001,92342,SUI,1,"(34.749859, -117.33666)"
2001,92344,HTD,1,"(34.388845, -117.408636)"
2001,92344,CAN,1,"(34.388845, -117.408636)"
2001,92344,CLD,1,"(34.388845, -117.408636)"
2001,92347,STK,1,"(34.92788, -117.180867)"
2001,92347,CLD,1,"(34.92788, -117.180867)"
2001,92352,DIA,1,"(34.248333, -117.188333)"
2001,92352,ALZ,1,"(34.248333, -117.188333)"
2001,92352,LIV,1,"(34.248333, -117.188333)"
2001,92352,SUI,1,"(34.248333, -117.188333)"
